System,Body,Material,Overlap
BD+73 447,B 4 B Ring,Bromellite,2x
BD+73 447,B 6 B Ring,Bromellite,2x
Pegasi Sector PN-T c3-14,A 9 B Ring,Tritium,2x
Pegasi Sector PN-T c3-14,A 9 B Ring,Bromellite,2x
Nulis,3 A Ring,Bromellite,2x
Miwodigi,4 A Ring,Tritium,3x
Miwodigi,4 A Ring,Bromellite,2x
Col 285 Sector VM-O b21-3,6 B Ring,Bromellite,2x
Hyades Sector KX-K b8-2,3 B Ring,Bromellite,2x
1 Pegasi,B 6 A Ring,Bromellite,2x
1 Pegasi,B 6 A Ring,Tritium,2x
Lu Pel,3 B Ring,Bromellite,2x
Antliae Sector LC-V b2-6,6 A Ring,Bromellite,2x
Col 285 Sector BW-Z b15-4,2 A Ring,Bromellite,2x
Mezanik,7 B Ring,Bromellite,2x
Arabakuala,5 B Ring,Bromellite,2x
Capricorni Sector JH-V b2-3,A 3 B Ring,Bromellite,2x
Capricorni Sector JH-V b2-3,B 5 B Ring,Bromellite,2x
Capricorni Sector JH-V b2-3,B 7 A Ring,Tritium,2x
Capricorni Sector JH-V b2-3,B 7 A Ring,Bromellite,2x
HIP 62153,15 A Ring,Bromellite,2x
Col 285 Sector SO-I a39-0,5 A Ring,Bromellite,2x
Col 285 Sector BO-M b22-7,A 2 B Ring,Bromellite,2x
Col 285 Sector NA-J b24-3,5 B Ring,Bromellite,2x
Capricorni Sector FM-V b2-6,7 A Ring,Bromellite,2x
ICZ MC-V b2-1,1 A Ring,Bromellite,2x
ICZ MC-V b2-1,1 A Ring,Tritium,2x
Arietis Sector IX-T b3-3,5 A Ring,Bromellite,3x
Arietis Sector DR-T a4-0,6 B Ring,Bromellite,2x
Col 285 Sector KO-G c11-20,A 4 A Ring,Bromellite,2x
Col 285 Sector KH-C b13-2,3 B Ring,Tritium,2x
Col 285 Sector KH-C b13-2,3 B Ring,Bromellite,2x
Antliae Sector PX-U b2-8,4 A Ring,Bromellite,2x
Col 285 Sector FP-K b23-9,3 B Ring,Bromellite,2x
Col 285 Sector PT-P b19-1,3 B Ring,Bromellite,2x
Col 285 Sector VG-H b12-0,13 B Ring,Bromellite,2x
Hyades Sector VZ-W b2-1,4 B Ring,Bromellite,2x
Col 285 Sector DM-K b9-6,A 7 A Ring,Bromellite,2x
Col 285 Sector VH-K b9-2,5 B Ring,Bromellite,3x
Mel 111 Sector CQ-P b5-2,3 A Ring,Bromellite,2x
Col 285 Sector UF-L b9-5,8 A Ring,Bromellite,3x
Col 285 Sector MG-H b25-0,BC 2 B Ring,Bromellite,2x
Col 285 Sector MG-H b25-0,BC 2 B Ring,Tritium,2x
Col 285 Sector AD-G b25-3,11 B Ring,Bromellite,2x
Col 285 Sector DG-L b22-3,2 B Ring,Bromellite,2x
Col 285 Sector OC-R b19-10,ABC 1 B Ring,Bromellite,2x
Arietis Sector IR-W b1-1,13 A Ring,Bromellite,2x
Col 285 Sector JA-F b12-7,3 A Ring,Bromellite,2x
Col 285 Sector YD-P b7-1,2 B Ring,Bromellite,2x
Col 285 Sector CW-U b16-0,A 7 A Ring,Bromellite,2x
Col 285 Sector XP-E c12-6,A 6 B Ring,Bromellite,2x
GCRV 1568,AB 1 A Ring,Painite,2x
Hyades Sector DB-X d1-112,2 A Ring,Painite,2x
HR 8461,6 A Ring,Painite,2x
Col 285 Sector UZ-P d5-90,A 6 A Ring,Painite,2x
Col 285 Sector WP-E c12-17,1 A Ring,Painite,2x
HR 4296,5 A Ring,Painite,2x
HR 4197,1 A Ring,Painite,2x
Col 285 Sector KD-R c5-12,1 A Ring,Painite,2x
HIP 74258,A 1 A Ring,Painite,2x
HIP 17519,1 A Ring,Painite,2x
Col 285 Sector AQ-X d1-47,5 A Ring,Painite,2x
Synuefe UZ-X c17-10,1 A Ring,Painite,2x
Pleiades Sector DB-O b6-2,5 A Ring,Painite,2x
IC 2602 Sector ZU-Y d103,ABC 3 A Ring,Painite,2x
HIP 22352,7 A Ring,Painite,2x
HIP 26582,AB 1 A Ring,Painite,2x
CG Andromedae,8 B Ring,Painite,2x
Swoilz UF-V d3-51,10 A Ring,Painite,2x
Praea Euq JA-A d92,A 6 A Ring,Painite,2x
Puppis Dark Region B Sector BA-A d62,B 14 A Ring,Painite,2x
Eol Prou IW-W e1-2942,10 A Ring,Painite,2x
Eol Prou RS-T d3-451,4 A Ring,Painite,2x
Col 285 Sector CC-K a38-2,1 B Ring,Low Temperature Diamonds,3x
HIP 4351,10 A Ring,Low Temperature Diamonds,3x
Swoilz PK-R b20-0,1 B Ring,Low Temperature Diamonds,3x
Gliese 488.2,A 4 B Ring,Low Temperature Diamonds,2x
Mosche,A 11 A Ring,Low Temperature Diamonds,2x
Pah,A 1 A Ring,Low Temperature Diamonds,2x
Turd Wu,4 B Ring,Low Temperature Diamonds,2x
Matunus,2 A Ring,Low Temperature Diamonds,2x
Alrai Sector VZ-P b5-7,5 B Ring,Low Temperature Diamonds,2x
Kelin Samba,14 B Ring,Low Temperature Diamonds,2x
Yum Chayuu,A 6 A Ring,Low Temperature Diamonds,2x
Dagudi,14 A Ring,Low Temperature Diamonds,2x
Col 285 Sector JU-S b19-3,A 3 B Ring,Low Temperature Diamonds,2x
Col 285 Sector OO-H c10-31,A 6 B Ring,Low Temperature Diamonds,2x
Wich,6 B Ring,Low Temperature Diamonds,2x
HIP 91868,4 A Ring,Low Temperature Diamonds,2x
HIP 70255,2 B Ring,Low Temperature Diamonds,2x
Usiratiach,9 B Ring,Low Temperature Diamonds,2x
Col 285 Sector XN-D a28-2,10 A Ring,Low Temperature Diamonds,2x
HIP 96507,4 A Ring,Low Temperature Diamonds,2x
Col 285 Sector FD-N b22-5,6 A Ring,Low Temperature Diamonds,2x
HIP 99591,B 1 A Ring,Low Temperature Diamonds,2x
Pegasi Sector QD-S b4-5,A 1 A Ring,Low Temperature Diamonds,2x
Col 285 Sector EQ-U b17-7,A 6 B Ring,Low Temperature Diamonds,2x
Col 285 Sector TZ-O c6-15,3 A Ring,Low Temperature Diamonds,2x
