System,Body,Material,RES
Delkar,7 A Ring,Platinum,High
20 Ophiuchi,6 A Ring,Platinum,Low
LHS 3388,2 A Ring,Platinum,Hazardous
G Scorpii,B 4 A Ring,Platinum,High
60 Herculis,3 A Ring,Platinum,High
Gurus,CD 4 A Ring,Platinum,High
HIP 28122,ABC 1 A Ring,Platinum,Hazardous
HR 6421,4 A Ring,Platinum,Hazardous
Nuitu,5 A Ring,Platinum,Hazardous
60 Tauri,CD 7 A Ring,Platinum,Hazardous
HIP 52780,5 A Ring,Platinum,Hazardous
Palliyan,2 A Ring,Platinum,High
HIP 113894,A 3 A Ring,Platinum,High
HIP 71572,A 2 A Ring,Platinum,Hazardous
HIP 62118,A 2 A Ring,Platinum,High
HIP 49285,C 4 A Ring,Platinum,High
58 Epsilon Herculis,3 A Ring,Platinum,High
HIP 14134,2 A Ring,Platinum,High
HIP 60953,ABC 8 A Ring,Platinum,Hazardous
Wolf 1458,3 A Ring,Platinum,High
Wolf 1458,3 A Ring,Platinum,Hazardous
Atins,2 A Ring,Platinum,High
HR 5473,B 1 A Ring,Platinum,Low
Macua,2 A Ring,Platinum,Hazardous
Toluku,AB 4 A Ring,Platinum,Hazardous
HIP 43054,AB 4 A Ring,Platinum,Hazardous
Paesia,2 A Ring,Platinum,Hazardous
HIP 7245,4 A Ring,Platinum,Low
HIP 19934,1 A Ring,Platinum,Hazardous
HIP 111173,CD 7 A Ring,Platinum,High
HIP 4005,5 A Ring,Platinum,Hazardous
HIP 61632,3 A Ring,Platinum,Hazardous
Koboga,2 A Ring,Platinum,Hazardous
HIP 35185,A 3 A Ring,Platinum,Hazardous
HIP 51652,4 A Ring,Platinum,Hazardous
Lalande 34968,AB 8 A Ring,Platinum,Hazardous
HIP 115505,6 A Ring,Platinum,High
HIP 7799,A 3 A Ring,Platinum,Hazardous
14 i Orionis,1 A Ring,Platinum,High
14 i Orionis,7 A Ring,Platinum,High
HR 2265,2 A Ring,Platinum,Hazardous
HR 8671,1 A Ring,Platinum,Hazardous
Col 285 Sector FM-M d7-89,B 2 A Ring,Platinum,High
HIP 1290,11 A Ring,Platinum,Hazardous
HIP 115736,10 A Ring,Platinum,Hazardous
Pleiades Sector KC-V c2-4,6 A Ring,Platinum,High
Wolf 406,4 A Ring,Bromellite,Hazardous
Feige 22,2 A Ring,Bromellite,Hazardous
Basika,A 6 A Ring,Painite,Hazardous
Basika,A 6 A Ring,Painite,High
Latjal,6 B Ring,Low Temperature Diamonds,Hazardous
Ngbato,9 A Ring,Tritium,Hazardous
Bhotho,AB 4 A Ring,Tritium,Hazardous
Namnetes,5 B Ring,Low Temperature Diamonds,Hazardous
Misthaka,AB 5 B Ring,Bromellite,Hazardous
38 Lyncis,4 A Ring,Painite,Hazardous
HIP 13179,9 B Ring,Tritium,High
Clionometes,8 B Ring,Low Temperature Diamonds,High
HIP 52780,3 A Ring,Painite,High
HIP 14922,3 A Ring,Painite,Hazardous
Visto,A 3 A Ring,Painite,Hazardous
Irusan,2 A Ring,Painite,High
HIP 60953,ABC 8 A Ring,Painite,Hazardous
HIP 21991,2 A Ring,Painite,High
HR 1013,2 A Ring,Painite,Hazardous
HR 1385,10 A Ring,Painite,High
Atins,2 A Ring,Painite,High
Omicron Ursae Majoris,3 A Ring,Painite,High
HIP 35219,2 A Ring,Painite,Hazardous
Hun Nik,4 A Ring,Painite,Hazardous
HIP 105408,2 A Ring,Painite,High
