English Full Name,English Abbr,German Full Name,German Abbr
Alexandrite,Alex,Alexandrit,Alex
Benitoite,Beni,Benitoit,Beni
Bertrandite,Bert,Bertrandit,Bert
Bromellite,Brom,Bromellit,Brom
Cobalt,Coba,Kobalt,Koba
Coltan,Colt,Coltan,Colt
Gallite,Gall,Gallit,Gall
Gold,Gold,Gold,Gold
Grandidierite,Gran,Grandidierit,Gran
Hydrogen Peroxide,H. Peroxide,Wasserstoffperoxid,WaPer
Indite,Indi,Indit,Indi
Lepidolite,Lepi,Lepidolith,Lepi
Liquid Oxygen,Liq Oxygen,Fluessigsauerstoff,FlueSa
Lithium Hydroxide,Lithium Hydro,Lithiumhydroxid,LiHyd
Low Temp Diamonds,LTD,Tieftemperaturdiamanten,TTD
Methane Clathrate,Methane Clath,Methanclathrat,MeCla
Methanol Monohydrate Crystals,Methanol Cryst,Methanolmonohydratkristalle,MeKri
Monazite,Mona,Monazit,Mona
Musgravite,Musg,Musgravit,Musg
Osmium,Osm,Osmium,Osm
Painite,Pain,Painit,Pain
Palladium,Pall,Palladium,Pall
Platinum,Plat,Platin,Plat
Rhodplumsite,Rhod,Rhodplumsit,Rhod
Serendibite,Sere,Serendibit,Sere
Silver,Silv,Silber,Silb
Tritium,Trit,Tritium,Trit
Uraninite,Uran,Uraninit,Uran
Void Opals,Opals,Leeren-Opale,LeOp
